repo,originality
https://github.com/ethpandaops/checkpointz,0.968
https://github.com/argotorg/act,0.917
https://github.com/ethdebug/format,0.8
https://github.com/powdr-labs/powdr,0.81
https://github.com/evmts/tevm-monorepo,0.480256
https://github.com/TrueBlocks/trueblocks-core,0.87
https://github.com/shazow/whatsabi,0.757
https://github.com/chainsafe/lodestar,0.85
https://github.com/erigontech/silkworm,0.56871
https://github.com/ethpandaops/ethereum-helm-charts,0.49307
https://github.com/DefiLlama/DefiLlama-Adapters,0.9
https://github.com/blockscout/blockscout,0.600
https://github.com/argotorg/hevm,0.569
https://github.com/wevm/viem,0.54633
https://github.com/vyperlang/vyper,0.51597
https://github.com/vyperlang/titanoboa,0.87
https://github.com/status-im/nimbus-eth2,0.867
https://github.com/scaffold-eth/scaffold-eth-2,0.887
https://github.com/OffchainLabs/prysm,0.493847
https://github.com/safe-global/safe-smart-account,0.797
https://github.com/paradigmxyz/reth,0.897
https://github.com/openzeppelin/openzeppelin-contracts,0.724
https://github.com/nomicfoundation/hardhat,0.563168
https://github.com/nethermindeth/nethermind,0.86
https://github.com/nethereum/nethereum,0.564
https://github.com/hyperledger-web3j/web3j,0.697617
https://github.com/grandinetech/grandine,0.867
https://github.com/foundry-rs/foundry,0.705
https://github.com/ethers-io/ethers.js,0.52147
https://github.com/argotorg/sourcify,0.88
https://github.com/argotorg/solidity,0.802
https://github.com/remix-project-org/remix-project,0.918
https://github.com/ethereum/go-ethereum,0.906
https://github.com/argotorg/fe,0.797
https://github.com/ethereum/execution-apis,0.468
https://github.com/ethereum/eips,0.575
https://github.com/ethereum-lists/chains,0.632288
https://github.com/ethereum/consensus-specs,0.605
https://github.com/erigontech/erigon,0.891
https://github.com/consensys/teku,0.859
https://github.com/apeworx/ape,0.9
https://github.com/alloy-rs/alloy,0.454
https://github.com/a16z/helios,0.532726
https://github.com/swiss-knife-xyz/swiss-knife,0.556087
https://github.com/axiom-crypto/snark-verifier,0.525414
https://github.com/risc0/risc0-ethereum,0.590213
https://github.com/dl-solarity/solidity-lib,0.664
https://github.com/ethstaker/ethstaker-deposit-cli,0.7
https://github.com/OffchainLabs/stylus-sdk-rs,0.488148
https://github.com/aestus-relay/mev-boost-relay,0.449202
https://github.com/succinctlabs/rsp,0.471825
https://github.com/edb-rs/edb,0.668463
https://github.com/0xMiden/miden-vm,0.580395
https://github.com/holiman/goevmlab,0.45
https://github.com/Cyfrin/aderyn,0.8
https://github.com/Commit-Boost/commit-boost-client,0.695686
https://github.com/NethermindEth/juno,0.513077
https://github.com/lambdaclass/ethrex,0.589719
https://github.com/succinctlabs/sp1,0.52
https://github.com/succinctlabs/op-succinct,0.406236
https://github.com/a16z/halmos,0.79
https://github.com/EspressoSystems/jellyfish,0.6192
https://github.com/skalenetwork/libBLS,0.79
https://github.com/lambdaclass/lambdaworks,0.600297
https://github.com/wealdtech/ethdo,0.705
https://github.com/dappnode/DAppNode,0.719
https://github.com/intellij-solidity/intellij-solidity,0.968
https://github.com/ChainSafe/bls,0.68
https://github.com/Plonky3/Plonky3,0.78
https://github.com/Certora/CertoraProver,0.877
https://github.com/ethstaker/eth-docker,0.673523
https://github.com/supranational/blst,0.675
https://github.com/wighawag/hardhat-deploy,0.85
https://github.com/libp2p/libp2p,0.79
https://github.com/ethereum/js-ethereum-cryptography,0.65
https://github.com/flashbots/mev-boost-relay,0.617783
https://github.com/flashbots/mev-boost,0.636
https://github.com/taikoxyz/taiko-mono,0.573
https://github.com/Vectorized/solady,0.529278
https://github.com/Consensys/gnark-crypto,0.745
https://github.com/l2beat/l2beat,0.645
https://github.com/protofire/solhint,0.5876
https://github.com/paulmillr/noble-curves,0.58
https://github.com/flashbots/rbuilder,0.7
https://github.com/arkworks-rs/algebra,0.567714
https://github.com/herumi/mcl,0.66
https://github.com/LFDT-web3j/web3j,0.6054
https://github.com/ethereum/py_ecc,0.605
https://github.com/lambdaclass/lambda_ethereum_consensus,0.682
https://github.com/sigp/lighthouse,0.899
https://github.com/otterscan/otterscan,0.624
https://github.com/hyperledger/besu,0.857
https://github.com/ethereum/web3.py,0.8
https://github.com/eth-infinitism/account-abstraction,0.714
https://github.com/smartcontracts/simple-optimism-node,0.968
https://github.com/ipsilon/evmone,0.638
https://github.com/ethpandaops/ethereum-package,0.958
https://github.com/DefiLlama/chainlist,0.399982
